Brand,Model,Year,Status,Mileage,Dealer,Price,Age,PriceRange,Yearly_Miles
gmc,yukon,2023,new,0.0,Gay Family Auto,76710.0,1,$70000-79999,0.0
gmc,yukon,2023,used,7577.0,Gay Family Auto,89993.0,1,$80000-89999,7577.0
gmc,canyon,2023,new,0.0,Gay Family Auto,50330.0,1,$50000-59999,0.0
toyota,land cruiser,2017,used,35837.0,Gay Family Auto,66994.0,7,$60000-69999,5119.57
gmc,yukon,2023,new,0.0,Gay Family Auto,70840.0,1,$70000-79999,0.0
cadillac,lyriq,2023,new,0.0,Bubba Oustalet Chevrolet Cadillac,63030.0,1,$60000-69999,0.0
chevrolet,trax,2024,new,0.0,AutoNation Chevrolet Gulf Freeway,26235.0,0,$20000-29999,
ram,1500,2023,new,0.0,Sterling Automotive West,51640.0,1,$50000-59999,0.0
jeep,grand cherokee,2023,new,0.0,Sterling Automotive West,46435.0,1,$40000-49999,0.0
gmc,yukon,2023,new,0.0,Beck & Masten Buick GMC South,81670.0,1,$80000-89999,0.0
ford,mustang,2024,new,0.0,AutoNation Ford Gulf Freeway,49205.0,0,$40000-49999,
toyota,tundra,2023,new,0.0,AutoNation Toyota Gulf Freeway,54466.0,1,$50000-59999,0.0
toyota,tundra,2023,new,0.0,AutoNation Toyota Gulf Freeway,67636.0,1,$60000-69999,0.0
toyota,tundra,2019,used,119885.0,AutoNation Toyota Gulf Freeway,29998.0,5,$20000-29999,23977.0
toyota,tundra,2023,new,0.0,AutoNation Toyota Gulf Freeway,64296.0,1,$60000-69999,0.0
toyota,tundra,2023,new,0.0,AutoNation Toyota Gulf Freeway,66172.0,1,$60000-69999,0.0
audi,rs 5,2021,used,50226.0,BMW of Houston North,60995.0,3,$60000-69999,16742.0
cadillac,escalade,2019,used,100506.0,Sterling McCall Chevrolet,39991.0,5,$30000-39999,20101.2
lexus,ls,2013,used,95611.0,Sterling McCall Chevrolet,23235.0,11,$20000-29999,8691.91
nissan,leaf s,2023,new,0.0,Tom Peacock Nissan,29885.0,1,$20000-29999,0.0
nissan,leaf s,2023,new,0.0,Tom Peacock Nissan,29860.0,1,$20000-29999,0.0
nissan,altima,2024,new,0.0,Tom Peacock Nissan,34720.0,0,$30000-39999,
mercedes,e-class,2022,certified,9143.0,Mercedes-Benz of Houston North,61994.0,2,$60000-69999,4571.5
jeep,grand cherokee,2023,used,5219.0,Mercedes-Benz of Houston North,41595.0,1,$40000-49999,5219.0
mercedes,gls 600,2023,certified,1199.0,Mercedes-Benz of Houston North,176995.0,1,$170000-179999,1199.0
toyota,highlander,2015,used,61296.0,Northside Lexus,25322.0,9,$20000-29999,6810.67
mercedes,e-class,2010,used,140556.0,Northside Lexus,7900.0,14,$0-9999,10039.71
jeep,wagoneer,2022,used,24360.0,Northside Lexus,58986.0,2,$50000-59999,12180.0
mercedes,gls 450,2018,used,28956.0,Northside Lexus,40899.0,6,$40000-49999,4826.0
lexus,ls,2021,used,73628.0,Northside Lexus,49950.0,3,$40000-49999,24542.67
cadillac,escalade,2023,new,0.0,Tom Peacock Cadillac,113095.0,1,$110000-119999,0.0
audi,q7,2023,certified,8541.0,Audi North Houston,53984.0,1,$50000-59999,8541.0
audi,tt,2020,certified,29080.0,Audi North Houston,43984.0,4,$40000-49999,7270.0
jeep,wrangler,2017,used,54215.0,Audi North Houston,29688.0,7,$20000-29999,7745.0
audi,gt,2023,new,0.0,Audi North Houston,157790.0,1,$150000-159999,0.0
ford,f-150,2019,certified,39190.0,Planet Ford 45,40884.0,5,$40000-49999,7838.0
ford,f-250,2017,used,131467.0,Planet Ford 45,36884.0,7,$30000-39999,18781.0
mercedes,gle,2024,certified,2963.0,Mercedes-Benz of The Woodlands,92498.0,0,$90000-99999,inf
gmc,yukon,2023,new,0.0,Demontrond Buick GMC,95190.0,1,$90000-99999,0.0
gmc,yukon,2022,used,15195.0,BMW of The Woodlands,69995.0,2,$60000-69999,7597.5
bmw,m3,2024,new,0.0,BMW of The Woodlands,98795.0,0,$90000-99999,
